id,outcome
1311,4
49053,7
42459,8
27729,12
34181,4
15381,1
3495,4
7663,6
50995,16
47696,18
44395,6
30631,0
2810,6
7796,18
45635,4
4352,2
32577,24
34546,6
18942,10
35748,7
16245,21
42611,8
28825,3
1151,4
53957,4
34215,4
34783,18
27783,12
38414,2
15020,3
52538,1
24008,2
40694,4
49892,4
28363,9
38216,2
23476,4
11398,15
11590,17
34359,21
8216,17
49033,7
2734,2
28179,23
48126,17
24906,13
1540,4
5043,4
532,21
10304,21
8000,1
6438,7
50250,4
52966,4
16989,10
40698,4
5076,11
3838,3
16733,6
37762,7
42860,1
7480,0
6955,16
40809,4
22298,8
11745,15
395,13
28056,1
51198,7
10143,1
45845,4
31284,17
28376,9
48780,0
9117,3
24808,13
17601,6
23909,2
40075,42
6083,3
23928,2
42500,16
27289,4
45626,3
26753,1
44841,21
383,4
28281,1
13802,42
14699,2
25193,13
53341,17
43401,3
31215,5
20429,3
7255,2
8469,5
27432,4
4177,8
3875,3
21399,3
6872,2
21415,3
32596,3
11190,7
19868,4
28265,1
21669,15
31998,12
36987,1
10984,4
17566,6
30886,4
5915,12
17909,0
13228,4
4957,2
32281,3
42142,17
6689,17
47470,18
25890,1
30839,6
38068,7
1969,3
1384,15
3792,12
12823,8
48070,17
34024,0
20123,4
4481,4
16180,3
29191,4
28439,12
5601,12
6224,12
25425,4
15788,8
11866,7
9247,4
7137,3
44056,1
38831,10
21919,15
37541,3
45913,4
12396,24
46190,4
33893,5
16623,6
35895,6
23561,4
42855,1
40830,4
22031,4
34045,4
5898,12
24669,21
18397,12
46272,4
44477,6
26736,1
38060,7
34944,6
27719,12
22937,2
29267,4
37480,3
35114,18
2693,10
19099,10
40595,6
21031,8
30043,4
39548,1
47007,3
36476,17
52624,5
22343,8
48554,4
17005,18
7752,6
14323,18
41477,7
44574,6
34789,18
29530,12
19867,4
51093,3
32130,16
22326,8
23686,4
10484,1
26502,10
18684,8
29954,4
32106,16
42537,8
45997,4
19583,21
24859,15
14027,12
40638,4
6525,16
48516,4
1220,1
47308,15
27875,12
45133,5
24135,1
12584,7
12936,5
47272,3
7177,2
35334,6
37067,2
28524,12
52798,0
35902,6
15347,2
4810,21
38862,6
27412,4
30205,4
51435,7
53139,4
31544,2
42786,4
50215,4
42963,1
53714,4
21706,15
51672,4
10413,1
15047,8
297,21
8805,2
46191,4
12579,7
51650,4
50318,4
40989,4
42553,8
34592,6
39214,3
18322,18
34184,4
15259,1
13915,42
49366,8
2140,12
31225,17
2474,2
13884,0
48678,13
4456,4
33864,4
32001,16
27886,12
29651,4
40477,6
30760,6
10122,8
53016,4
15409,3
28579,12
39728,6
53557,4
48623,0
34819,1
24225,2
25445,4
24424,2
18582,8
6445,7
12961,5
13741,4
12217,4
39770,21
52074,12
46551,13
43903,1
12209,4
11536,4
38916,7
16732,6
40177,6
46119,4
34493,3
23550,6
36949,1
1629,42
42508,8
10226,4
44896,21
14912,12
6783,2
39678,6
21761,4
16679,0
45513,4
7360,0
3619,13
6954,16
1767,42
41809,4
21091,12
22431,8
48673,0
29003,24
12889,5
15898,12
7388,3
45734,4
3568,4
52182,12
14265,18
12089,8
8421,1
49260,8
30240,7
32770,11
20303,4
12613,8
44502,6
7885,18
646,12
40560,6
11200,13
16011,13
3487,4
48409,4
13418,42
42084,17
46246,4
29695,13
26952,4
35986,0
16780,6
3130,8
28342,9
12689,4
37219,3
253,10
5358,4
49333,8
49921,4
43946,1
21481,3
44727,6
31790,16
39192,3
20272,4
516,2
37707,7
52638,4
4950,13
23426,4
19883,4
34501,3
28048,2
39211,3
45463,4
26891,1
31407,17
53998,4
34930,18
2293,12
17996,21
46151,4
26330,12
3589,3
17401,13
37738,7
39109,4
36379,17
25505,12
35602,7
3069,18
1770,42
26687,16
23390,4
27111,4
15308,1
48846,0
50721,8
47512,15
23750,4
10996,4
51334,7
14112,18
14696,3
41579,7
53231,17
6894,16
26568,1
9952,17
7977,1
14080,12
18832,20
38743,1
14085,12
27491,4
26772,1
26077,4
24381,2
30469,7
4241,2
9648,4
44882,21
18089,12
10190,1
2862,6
2269,12
25813,1
43890,3
12692,4
16304,2
30549,16
4260,2
51036,3
45589,4
26520,3
33194,2
22221,8
18551,8
47594,15
34370,3
40293,6
9777,7
4174,8
41503,7
27867,12
21539,15
37086,1
40282,6
12594,8
50746,4
42173,17
26665,1
11907,7
17677,6
23862,2
2274,12
25801,18
49355,8
1619,4
50701,8
23117,2
22166,8
48956,7
10797,21
11540,4
15125,12
5079,1
32941,2
28597,12
13631,42
47000,21
733,4
53611,4
49337,8
16848,6
19045,10
30567,3
38685,3
40313,6
43993,12
17553,6
17980,21
7198,2
28123,1
45355,4
28320,0
31692,2
35279,6
37854,7
8622,7
43717,7
31044,17
42331,17
45435,4
31496,2
1045,1
4685,2
39529,1
41184,4
32549,3
53299,17
9932,17
29723,4
772,4
26567,1
42389,8
38050,7
16792,6
1559,12
38473,3
15100,3
21057,8
47325,15
47455,15
28408,1
33508,0
47581,15
34627,6
18657,8
11788,0
17597,6
53028,4
44151,6
24616,21
3043,18
7414,0
8870,1
2557,9
16980,24
49154,7
5280,8
20526,13
41450,7
2558,0
16958,10
5397,1
19723,21
41722,2
34150,4
44726,6
22480,2
51758,4
30614,3
3051,18
12771,12
27601,4
26828,1
3221,1
24431,17
4157,8
51109,3
51982,4
6655,17
1947,3
17198,10
47287,3
18478,18
5034,4
36116,0
4609,2
50242,4
37044,6
14717,4
45171,3
47045,3
16745,6
29025,18
43680,7
34998,4
9321,17
41663,4
44606,6
5027,4
29283,4
53663,4
6347,4
14347,1
12631,8
15587,8
27913,1
51292,4
40291,6
25587,1
35937,3
25529,4
7110,3
36449,17
38922,2
42045,6
25037,6
7528,4
25296,13
7513,0
8634,7
7252,2
53869,4
11767,4
10603,6
14404,8
29278,4
21265,3
52028,12
11275,3
45175,21
41287,4
36948,1
3275,0
48326,4
32721,3
44833,21
11763,13
52009,12
50592,8
12017,8
44935,16
31365,17
37973,7
789,2
36108,0
45981,4
14555,18
44901,25
47969,17
6368,4
9874,17
44469,6
41029,4
39577,4
47086,3
8826,6
53551,4
45741,4
46510,13
29595,12
9804,4
40488,6
13478,42
8217,17
1124,6
9738,7
13021,4
19223,10
19710,19
52789,0
35961,0
52646,5
21236,3
11153,6
43409,3
35058,18
5831,9
39429,1
38073,7
29939,4
41944,17
94,17
29483,12
35364,1
7241,2
23613,4
44679,4
35115,6
32057,16
52200,12
30267,7
41842,6
26119,2
14974,12
50383,8
16173,3
23382,4
47059,3
1162,7
17317,6
33362,0
52872,4
7580,3
8650,7
5746,1
18989,10
44921,21
13981,12
39845,4
33683,0
6691,17
12985,16
25567,2
26731,2
31933,0
44878,21
15672,12
51467,8
16625,6
34159,4
4507,6
41250,4
22257,8
21918,15
33658,0
3614,4
273,15
30412,13
50589,8
40621,4
14668,3
35292,10
47319,15
5426,2
52781,16
28508,12
40745,4
28050,2
29547,12
27602,4
44087,1
1333,4
19659,21
22559,2
42327,17
28798,3
48437,6
52457,5
7655,3
17274,2
12418,3
24493,21
3719,13
19506,21
32902,2
43741,7
22044,4
48012,17
14920,24
17006,18
12254,4
23010,0
16068,8
4789,21
35220,6
48313,4
12191,4
16715,6
7108,16
15005,12
17256,10
53288,17
34205,4
26279,8
28226,42
5348,1
9606,4
44032,1
15016,12
42385,8
2569,6
14768,11
37209,1
9592,4
51781,4
20716,4
52249,18
2926,21
47149,3
12113,4
23818,4
12149,4
19548,6
52425,5
6704,17
12781,12
28138,1
27531,4
35725,7
25446,4
51159,3
24281,2
24447,21
12030,8
19643,21
40899,4
33999,1
39874,4
51834,1
46162,4
6546,3
23358,4
47229,3
20989,12
25143,15
25972,1
23586,6
49365,8
26169,12
16875,6
42446,8
17069,10
26843,6
42450,8
9675,4
37864,7
42977,1
33365,12
10639,6
12265,8
27356,4
45865,4
43736,7
10811,21
40029,10
39357,3
31589,2
43247,3
52797,3
12200,4
39789,21
45439,4
42802,1
20838,13
41681,3
20327,4
15278,1
38163,6
19556,6
50339,4
49587,8
39696,6
1039,2
50351,4
45972,4
49397,8
28302,1
1757,1
11579,17
11573,17
36122,0
29812,4
53250,17
44127,1
52930,4
11750,4
3055,18
7253,2
53531,4
18065,0
26524,24
50446,8
6794,2
13890,42
51459,7
5662,8
47777,4
31976,16
40524,6
35302,10
12004,8
11276,21
38784,10
19391,21
19005,21
42132,17
13157,17
32355,5
3151,8
31443,2
600,12
9411,6
9214,24
2268,12
30966,4
36232,17
51817,4
47389,13
37807,7
28208,1
39279,3
8697,7
14384,18
51676,1
46301,4
333,10
26332,12
44872,21
13394,4
22087,4
51958,4
36180,3
41818,4
20862,4
47180,3
4865,13
9579,4
21267,3
53219,17
25301,13
680,12
26556,1
31892,16
2657,10
16694,6
21073,12
44714,6
17018,5
18438,18
38716,3
39562,4
7836,18
39870,4
25812,1
51633,4
30471,7
23381,4
23607,4
45219,16
16592,1
38548,10
10376,7
11337,3
50278,4
32243,12
35240,24
5,1
29986,4
40355,6
7468,0
18748,10
47238,3
28181,1
2355,12
34135,4
22230,8
43189,6
30245,7
14054,8
14829,2
3777,12
35705,7
41575,7
40551,23
37933,7
30736,0
15927,12
25498,4
42119,17
34510,6
47386,13
3160,8
19048,10
2825,15
8144,0
27453,4
4854,13
16396,2
16668,6
18072,21
41642,4
36202,0
27953,17
25639,1
26726,2
50865,24
27182,4
37878,7
23331,2
42669,8
24764,0
20204,4
31512,2
40876,4
49234,8
13643,42
8956,4
41326,4
39131,4
46128,4
43059,1
46813,13
50582,8
25368,2
41925,17
26863,24
3620,13
37034,1
50291,4
29284,4
9785,13
9175,4
50469,2
22826,19
42607,8
11479,15
39344,6
32651,0
11094,4
6452,7
9662,4
44697,4
17886,0
12921,1
1065,4
31249,17
37158,1
34254,3
9155,1
52539,1
18330,18
27954,17
13991,18
33809,0
48395,4
8280,17
34256,3
6329,4
27802,12
18037,21
27002,1
30189,4
1556,12
10276,3
11746,15
17276,2
40914,4
43767,7
42474,8
20269,4
4623,24
7964,1
33228,2
32807,3
5689,12
4,12
17398,15
6775,1
15719,12
22900,0
34961,6
25507,4
24967,13
35707,7
4478,4
11836,25
30000,4
41446,7
4109,8
26986,2
53190,17
3492,4
30193,4
9383,4
48023,17
48456,15
18205,21
44819,21
5899,12
22805,1
23798,4
28526,12
19551,6
51308,7
17023,21
51420,7
575,1
53623,4
48432,6
31868,16
11505,15
1507,3
53967,4
9066,3
21891,15
14041,18
43624,7
41680,4
26377,8
6334,4
2340,12
17986,1
11557,17
28721,12
12717,4
50269,4
28169,1
4883,6
51858,1
19563,21
7891,18
45041,21
3876,3
15051,12
39002,6
31741,2
26778,1
35666,7
33617,0
15797,8
17396,24
27057,2
20413,3
29259,0
13839,42
23392,4
50809,4
41878,4
26586,1
15928,12
4493,6
43315,3
16454,2
415,3
50127,4
27391,4
24286,2
27782,12
30408,13
31190,17
48283,4
11495,15
17905,0
9588,4
37030,1
32715,3
32680,0
5882,12
53681,4
51403,4
37526,4
19632,21
50867,3
39521,9
45747,4
38104,6
11085,4
50451,8
52075,12
5938,12
33578,0
10318,3
30827,6
10571,15
16587,2
41558,7
31519,2
16147,3
49884,21
10235,3
52570,5
44892,21
39408,6
35069,18
36906,6
43918,1
31236,17
15316,2
19501,21
14320,1
42,4
51328,7
43724,7
30358,7
16203,3
34469,3
42896,1
226,3
48983,7
30832,3
21155,3
9992,17
37550,3
30368,7
42961,1
7657,6
53425,17
50480,8
31269,17
31973,16
9288,10
11956,8
43637,7
4094,8
52056,12
10267,3
1958,11
30238,7
27141,4
46975,3
27314,4
36350,17
10889,4
11814,0
19826,4
45034,21
3638,4
4344,2
9128,6
49644,12
17131,10
14443,18
31862,16
23863,2
46511,6
43523,7
33882,0
41469,7
10000,8
51576,8
4843,13
53275,17
7715,6
34736,24
9920,17
313,18
50649,8
26808,4
20456,3
33468,0
29152,13
2018,9
24267,12
33092,2
53478,17
23736,4
29236,13
51082,3
4817,21
53572,4
44535,6
17055,10
17937,21
37960,7
25741,1
1448,8
38841,0
24029,11
17572,6
3797,12
30624,3
32733,3
22216,8
31151,17
13442,0
44728,6
10147,1
12201,4
37752,7
36524,17
3331,21
36742,1
43575,7
47209,3
27620,12
31842,16
29633,4
25711,1
3929,15
12930,5
46173,4
5058,1
39775,0
23559,4
7934,1
20811,4
42286,17
47869,17
5130,1
33088,2
2868,4
4410,1
47737,4
16901,6
34603,6
25539,4
26299,12
32795,4
20092,4
35784,0
38208,2
5238,8
21567,15
4600,2
18431,18
49014,7
39181,3
5953,12
48890,7
10730,3
49795,21
2332,12
14124,18
25382,2
18615,8
32624,3
18483,8
28398,2
29930,4
32992,2
26148,12
12660,4
30039,4
9761,7
41789,1
32064,16
12391,3
8296,17
953,21
32104,16
24056,2
15338,1
24724,21
8005,1
20582,4
48514,4
30710,6
53573,4
2240,12
33625,0
26702,4
35951,0
7691,6
45095,16
38603,3
31654,2
24343,2
51729,4
43033,24
15550,1
41494,7
46445,4
50311,4
29018,18
22440,12
32574,3
20004,4
12608,8
24959,0
31739,2
44603,6
48860,10
26842,1
29030,3
44717,4
18952,6
10761,21
10382,7
15800,8
34164,4
3434,4
37415,1
49977,4
22986,1
22595,2
42462,8
31182,17
17025,19
17524,12
44190,6
6718,17
30590,3
15418,1
31054,17
533,21
46632,13
47807,4
8705,7
27897,12
43849,17
33885,0
1369,3
4927,13
40811,4
19297,10
9026,4
53002,4
16879,6
35061,18
7222,2
24926,13
43547,7
17711,15
53796,4
6008,3
31843,16
36100,5
10415,1
10445,1
50595,8
46441,4
25140,13
42208,1
30907,4
6596,3
47344,15
8049,7
41512,7
22153,8
17214,10
22000,4
20985,12
42785,1
1106,18
31213,5
35300,10
47854,17
44832,21
34949,18
30663,16
1476,4
14876,12
22929,1
33612,0
30391,13
35869,16
15417,1
37153,3
23742,4
26649,3
24389,2
5383,4
924,18
6702,17
29192,4
1359,3
39401,6
52065,8
49047,7
54016,4
25238,13
8335,17
18930,2
23389,4
42805,1
26467,1
5187,1
17813,0
46056,4
3525,4
42542,8
24274,1
42514,8
23497,4
31912,0
22379,8
3017,18
53788,4
51815,4
13201,17
39042,4
33841,0
33613,0
53868,4
29464,12
39129,4
25383,2
48340,13
53046,4
4281,1
38882,4
48927,7
44840,21
5768,23
53841,4
24487,12
35246,1
50743,4
43845,17
53451,17
26525,11
1734,42
25690,9
31484,2
39642,6
16466,2
10256,3
50710,8
34994,18
36681,17
35972,0
47562,15
49266,8
33921,16
8377,1
37414,1
739,4
16991,10
42394,8
32848,5
11417,15
19046,10
808,12
37823,7
10152,1
26104,2
9844,4
14432,12
35985,0
47677,15
36757,1
49861,21
14231,18
39557,1
9036,13
28978,3
12879,5
3091,8
20988,12
46825,13
21620,15
9046,3
47681,13
39016,4
7509,0
16377,1
42310,17
50534,8
41216,4
34348,3
15900,12
8336,17
51923,4
40896,4
35039,19
43627,7
8903,1
48160,21
52836,0
6988,12
6887,16
16578,2
6747,17
19932,4
38657,0
52111,12
25786,1
24437,21
21973,15
22291,8
16575,2
52551,1
8681,7
39972,18
41022,4
16529,2
50608,8
46060,4
34583,6
41416,7
36903,6
20738,13
33759,5
25033,13
25774,1
16990,10
24891,13
40711,4
24983,13
11195,13
7600,3
30991,17
43922,1
36305,17
28037,2
53065,4
31459,2
21545,15
978,17
47998,17
4497,6
20052,4
43134,4
47948,17
51697,4
52841,0
40957,4
50964,11
52972,4
40797,4
28599,4
9448,6
6185,4
20097,4
24516,16
8998,4
52448,5
22657,2
27177,4
33275,0
46547,13
8961,4
52307,12
52580,5
5038,4
2874,0
53610,4
25321,13
43844,17
24683,21
52226,12
13711,42
35352,10
46595,13
48289,10
19399,12
40807,4
9900,17
25512,0
10683,13
4805,21
7505,0
52975,4
25281,13
14130,18
13086,4
18763,4
5860,12
6454,7
26143,18
26190,8
37084,1
36908,3
50713,8
22530,2
26194,8
595,12
46478,13
49885,3
9939,17
17206,24
35644,7
11382,3
48097,17
5011,2
52825,5
19281,10
18584,8
49063,7
31668,9
32260,3
48157,17
44465,6
29611,12
9008,4
26992,2
16361,2
43634,7
8614,7
9681,4
30075,4
48633,0
38047,7
12697,1
26062,1
43088,4
12364,8
2690,10
47772,4
52999,4
40333,6
39823,12
12189,4
52733,5
13043,4
4543,4
22809,2
8215,17
9845,4
23882,1
9519,4
46640,13
15846,20
35527,10
39188,3
40903,4
50357,4
39909,4
20820,4
2672,10
9449,6
51847,4
39858,42
36986,1
9969,17
16620,6
33259,2
19458,8
694,3
13371,42
34646,6
36494,17
10243,3
47709,10
48809,0
30202,4
14175,18
3124,8
50879,3
7564,3
21975,15
5097,1
21570,15
40605,6
33835,0
38543,10
14721,3
13010,5
15027,12
650,12
50621,8
35542,10
47292,15
36825,1
17099,10
21978,15
28258,1
16718,6
26578,1
25115,13
18155,17
25305,13
50591,8
13604,1
48920,7
26314,12
18363,18
37828,7
41402,7
45699,4
36854,1
8714,7
41089,4
37516,19
6983,16
47300,15
6493,7
48898,7
35407,24
51553,8
19017,21
34249,3
9656,4
47031,3
26924,42
23680,4
15934,3
34647,6
35977,0
36111,0
3708,13
39695,6
11167,13
53293,17
22348,1
42900,4
6166,0
49935,4
33147,2
16223,3
28955,10
53472,17
20400,3
22965,2
40097,6
7133,3
23082,1
52228,12
17474,4
46771,6
31987,8
37905,7
2414,2
24662,16
3393,21
643,12
17262,10
19460,16
33044,2
20964,0
5063,1
30217,7
34550,6
4204,2
52012,12
27678,12
22183,8
19178,0
5138,1
17007,10
16100,12
12348,8
27984,1
30657,16
49946,4
10952,4
23099,2
8683,7
3943,15
19533,6
26424,12
44650,15
37700,7
23208,1
44214,15
35393,6
29667,4
36734,1
29721,4
53976,4
22681,17
19895,4
22549,1
29889,4
49298,8
48712,0
51280,4
23608,4
43153,3
43582,7
47137,3
23297,1
30570,8
40142,17
33255,2
39616,6
4331,2
4149,8
25478,4
12293,8
20946,12
466,2
28681,12
9623,4
39190,16
5771,1
26285,8
18004,0
7800,18
23227,1
22647,2
48415,4
33837,0
3793,12
21008,12
5082,1
35225,18
37283,4
15194,12
12167,13
20616,4
41476,7
46114,4
28422,2
34977,4
25599,3
52586,5
17404,13
2076,8
36885,4
49116,7
30407,13
36099,0
943,7
7555,4
2986,21
45744,4
26518,3
10044,8
32543,3
23703,4
24787,21
17207,10
49857,4
11717,4
35272,18
9017,4
20012,4
35563,7
31703,1
20183,4
19590,21
80,4
20072,4
53748,4
41125,4
9783,7
9712,7
25126,13
15551,1
21168,0
2537,6
33817,16
15050,12
26864,1
46851,13
27293,4
29753,4
26546,1
95,8
52750,16
7578,3
8732,1
8865,10
22176,8
29455,12
20791,4
22378,8
14142,18
31751,2
22120,4
35430,10
25320,13
21822,15
49293,8
22683,17
7349,0
19362,0
8424,1
42795,1
2061,12
22407,8
34124,0
26367,8
36210,0
13250,4
39801,18
14332,18
53499,17
7334,0
41950,17
5654,12
14164,0
19068,10
29489,12
30798,4
53458,17
31456,2
9505,4
6511,7
9593,4
47933,17
29935,4
38522,10
22543,2
6513,7
46882,21
7775,24
45020,21
39132,4
30562,3
19805,4
1247,7
45029,21
17093,10
28784,12
18954,1
24933,13
52566,5
15750,12
40519,6
23819,4
31706,2
43155,3
12526,7
15242,12
49569,8
46015,4
51196,13
9380,6
29559,12
11703,13
12630,8
20114,4
21351,3
33491,0
13674,42
24734,21
51680,4
53014,4
18069,21
17252,10
25902,1
2080,12
7823,6
24359,2
27847,8
28790,12
1239,3
7047,21
26876,6
53783,4
47248,3
2783,15
29853,4
49672,4
49772,8
44109,1
15332,1
51232,4
1766,42
8104,3
16656,6
10769,0
14079,12
46968,3
6058,3
26477,1
16538,2
16380,2
27488,4
28558,12
43923,1
21255,3
34731,6
47684,15
38647,10
41543,7
44968,16
14713,4
2655,10
25146,15
2982,21
44050,1
25053,13
34660,6
49737,8
14504,18
44904,21
47053,3
6848,9
16602,6
11860,12
11868,7
33849,0
27191,4
50723,12
41792,1
3627,4
24937,4
11100,4
22664,17
40661,4
487,2
52026,12
24626,21
29272,3
17881,21
13913,42
497,4
34933,18
35304,10
13949,42
20492,3
41529,7
47588,15
33123,2
27723,8
5637,12
8981,4
27203,4
39266,3
414,4
51997,4
52473,5
40059,10
25776,1
13252,4
26592,3
26629,1
51482,8
21427,3
42887,4
24331,2
24610,21
26026,9
32846,3
12688,4
44765,6
4983,2
10502,1
34700,6
11068,4
17451,15
53952,4
1811,18
46807,13
46206,4
197,1
28211,23
13755,6
17218,12
20824,4
34513,6
12893,5
34598,6
36803,1
11820,0
45878,4
52824,0
42826,1
31489,2
9165,1
13359,23
11430,15
33877,0
38838,9
32591,3
5405,42
49439,8
8855,10
28888,3
7535,4
18863,10
35108,6
30088,4
563,2
10553,6
46589,13
28375,9
1107,0
25198,13
40014,6
20096,4
3333,21
31090,17
4907,13
8969,6
1571,5
522,2
22787,4
12523,4
5830,9
3423,19
32487,3
14735,11
32242,12
24509,21
30105,4
37187,1
33925,0
35047,1
12173,4
2964,21
35878,21
51099,3
1531,8
494,4
37523,21
17873,0
37005,1
11392,15
9451,4
24032,2
42758,8
35122,18
51518,8
41791,4
6442,7
32664,16
48721,0
47276,3
50955,3
25546,4
31924,16
16448,2
4072,4
21965,15
48845,0
50358,4
24857,13
43863,1
1040,2
23642,4
8320,17
26692,1
42643,8
29219,4
16608,6
35065,18
48058,17
50303,4
40912,4
36512,17
3779,12
4288,4
25211,13
25406,4
21941,15
50517,8
51564,8
17443,15
49968,4
13492,42
1537,4
24554,5
8809,2
20336,4
51469,8
15456,1
27511,4
50611,8
35870,16
29286,4
46027,4
46340,4
34331,3
5577,4
12800,12
45443,4
23799,4
36616,17
18605,8
42996,4
45296,3
50498,8
39440,7
12704,4
15877,20
27404,4
47376,4
23663,6
48130,17
35193,18
37064,1
7050,3
51030,24
5772,1
8262,17
35200,10
33499,0
18028,21
27662,12
49464,8
5779,2
18267,18
30944,4
24475,21
38595,0
35625,7
21857,15
328,8
24603,21
27891,12
32869,2
12056,8
586,2
51373,7
4443,2
7943,1
12963,5
53710,4
48553,4
28687,3
17162,10
33048,2
48037,17
626,4
19567,21
34542,6
24311,2
26,4
27631,12
36097,0
30955,4
35893,16
49911,4
22608,1
38286,2
40788,4
11343,3
3584,3
15476,2
43869,1
37001,1
38254,2
6324,4
40244,0
1457,8
267,10
52983,4
16759,3
12509,7
18100,21
6728,17
9326,6
41705,4
25949,1
48525,16
44734,4
2008,3
24195,2
48609,0
53486,17
42425,8
19515,6
51645,4
23596,4
1982,3
43477,7
31949,3
51888,4
39992,3
19453,16
23699,4
47813,4
34160,4
12747,4
34379,3
14261,18
5439,9
13644,42
33168,2
18838,20
41793,13
37050,1
24003,9
42760,8
37401,3
29126,21
7824,6
13941,42
17599,6
11804,0
30913,4
16683,0
44384,6
2229,11
12276,8
44008,1
46826,13
50337,4
15522,1
24792,21
5803,1
36577,17
36557,17
23571,4
8604,7
17658,15
49548,8
43854,1
11326,3
42299,17
33464,0
13821,23
34145,4
37727,7
45891,4
29275,4
37355,3
1003,21
50496,8
4191,2
27406,4
13824,42
1214,8
9412,6
26509,3
9122,4
37419,3
29170,4
30271,7
42521,8
31615,2
47792,4
34216,4
53009,4
19344,11
27969,2
49929,4
46556,6
33728,0
36381,17
33939,0
17232,42
51684,1
41218,4
46581,6
42373,8
25451,4
28467,12
52276,12
24465,21
12868,12
18144,21
31530,2
568,4
25447,4
39727,6
51073,3
24880,13
20867,13
21080,12
7840,18
47372,15
10903,4
25626,0
8212,17
8369,1
41016,4
18940,6
2530,2
1870,8
9584,4
593,12
39735,6
17954,1
24264,2
38867,4
51794,4
15296,2
52389,5
15200,3
52464,5
5083,1
41684,4
37298,3
40153,17
40592,6
21264,3
26836,1
1971,11
24682,21
47754,4
44906,21
26096,2
40675,4
1636,0
44462,6
49315,8
50217,4
47514,15
12487,3
3996,15
42078,17
5769,1
25637,1
32511,1
34120,0
42716,8
12159,4
9246,4
12560,7
20527,13
22135,4
51639,4
31685,2
36525,17
6587,10
25062,13
33316,0
29579,12
6107,3
16807,6
31432,2
17008,10
30627,3
50884,24
41019,4
36537,17
14493,18
3328,21
51705,4
21649,15
27013,4
34163,4
6558,16
8720,2
7479,0
47471,15
25408,4
3785,12
26447,1
39651,6
13443,42
26259,12
25038,6
15510,2
28471,12
37528,3
47291,15
